# Pin Out For ECP5U-25,,,,,,,,,
# Revision 1.1 - Include CABGA256 package,,,,,,,,,
"# Revised Oct. 17, 2017",,,,,,,,,
,,,,,,,,,
PAD,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,DQS,CABGA381,CSFBGA285,CABGA256
285,PT65B,1,-,Comp_OF_PT65A,-,-,B19,-,A14
286,PT67A,1,-,True_OF_PT67B,-,-,A19,B8,B14
287,VSSIO1,-,-,-,-,-,-,-,-
288,PT65A,1,-,True_OF_PT65B,-,-,A18,-,A13
289,PT62B,1,-,Comp_OF_PT62A,-,-,B18,-,E13
290,VSS,-,-,-,-,-,-,-,-
291,PT60B,1,-,Comp_OF_PT60A,-,-,C17,-,C13
292,PT62A,1,-,True_OF_PT62B,-,-,A17,-,D13
293,VCC,-,-,-,-,-,-,-,-
294,PT60A,1,-,True_OF_PT60B,-,-,B17,-,B13
295,PT58B,1,-,Comp_OF_PT58A,-,-,D16,-,E12
296,VSS,-,-,-,-,-,-,-,-
297,PT56B,1,-,Comp_OF_PT56A,-,-,B16,-,C12
298,PT58A,1,-,True_OF_PT58B,-,-,C16,-,D12
299,VCCAUX,-,-,-,-,-,-,-,-
300,PT56A,1,-,True_OF_PT56B,-,-,A16,-,B12
301,PT53B,1,-,Comp_OF_PT53A,-,-,E15,-,A12
302,VCCIO1,-,-,-,-,-,-,-,-
303,PT51B,1,-,Comp_OF_PT51A,-,-,C15,-,E11
304,PT53A,1,-,True_OF_PT53B,-,-,D15,-,A11
305,VSSIO1,-,-,-,-,-,-,-,-
306,PT51A,1,-,True_OF_PT51B,-,-,B15,-,D11
307,PT49B,1,-,Comp_OF_PT49A,-,-,E14,-,C11
308,VCCIO1,-,-,-,-,-,-,-,-
309,PT47B,1,-,Comp_OF_PT47A,-,-,C14,-,E10
310,PT49A,1,-,True_OF_PT49B,-,-,D14,-,B11
311,VSSIO1,-,-,-,-,-,-,-,-
312,PT47A,1,-,True_OF_PT47B,-,-,A14,-,D10
313,PT44B,1,-,Comp_OF_PT44A,-,-,E13,-,C10
314,VSS,-,-,-,-,-,-,-,-
315,PT42B,1,-,Comp_OF_PT42A,-,-,C13,-,A10
316,PT44A,1,-,True_OF_PT44B,-,-,D13,-,B10
317,VCC,-,-,-,-,-,-,-,-
318,PT42A,1,-,True_OF_PT42B,-,-,B13,-,A9
319,PT40B,1,-,Comp_OF_PT40A,-,-,A13,-,E9
320,VSS,-,-,-,-,-,-,-,-
321,PT38B,1,GR_PCLK1_1,Comp_OF_PT38A,-,-,E12,-,C9
322,PT40A,1,-,True_OF_PT40B,-,-,A12,-,D9
323,VCCAUX,-,-,-,-,-,-,-,-
324,PT38A,1,GR_PCLK1_0,True_OF_PT38B,-,-,D12,-,B9
325,PT35B,1,PCLKC1_0,Comp_OF_PT35A,-,-,C12,A8,B8
326,VCCIO1,-,-,-,-,-,-,-,-
327,PT33B,1,PCLKC1_1,Comp_OF_PT33A,-,-,E11,C9,D8
328,PT35A,1,PCLKT1_0,True_OF_PT35B,-,-,B12,A9,C8
329,VSSIO1,-,-,-,-,-,-,-,-
330,PT33A,1,PCLKT1_1,True_OF_PT33B,-,-,D11,B9,E8
331,VSS,-,-,-,-,-,-,-,-
332,VCC,-,-,-,-,-,-,-,-
333,PT29B,0,PCLKC0_0,Comp_OF_PT29A,-,-,C11,C10,A8
334,VCCIO0,-,-,-,-,-,-,-,-
335,PT27B,0,PCLKC0_1,Comp_OF_PT27A,-,-,A11,A10,B7
336,PT29A,0,PCLKT0_0,True_OF_PT29B,-,-,B11,B10,A7
337,VSSIO0,-,-,-,-,-,-,-,-
338,PT27A,0,PCLKT0_1,True_OF_PT27B,-,-,A10,A11,C7
339,PT24B,0,GR_PCLK0_0,Comp_OF_PT24A,-,-,B10,-,D7
340,VSS,-,-,-,-,-,-,-,-
341,PT22B,0,-,Comp_OF_PT22A,-,-,C10,-,B6
342,PT24A,0,GR_PCLK0_1,True_OF_PT24B,-,-,A9,-,E7
343,VCC,-,-,-,-,-,-,-,-
344,PT22A,0,-,True_OF_PT22B,-,-,B9,-,C6
345,PT20B,0,-,Comp_OF_PT20A,-,-,E9,-,D6
346,VSS,-,-,-,-,-,-,-,-
347,PT18B,0,-,Comp_OF_PT18A,-,-,A8,-,A6
348,PT20A,0,-,True_OF_PT20B,-,-,D9,-,E6
349,VCCAUX,-,-,-,-,-,-,-,-
350,PT18A,0,-,True_OF_PT18B,-,-,A7,-,A5
351,PT15B,0,-,Comp_OF_PT15A,-,-,B8,-,B5
352,VCCIO0,-,-,-,-,-,-,-,-
353,PT13B,0,-,Comp_OF_PT13A,-,-,D8,-,D5
354,PT15A,0,-,True_OF_PT15B,-,-,C8,-,C5
355,VSSIO0,-,-,-,-,-,-,-,-
356,PT13A,0,-,True_OF_PT13B,-,-,E8,-,E5
357,PT11B,0,-,Comp_OF_PT11A,-,-,C7,-,B4
358,VCCIO0,-,-,-,-,-,-,-,-
359,PT9B,0,-,Comp_OF_PT9A,-,-,D7,-,D4
360,PT11A,0,-,True_OF_PT11B,-,-,C6,-,C4
361,VSSIO0,-,-,-,-,-,-,-,-
362,PT9A,0,-,True_OF_PT9B,-,-,E7,-,E4
363,PT6B,0,-,Comp_OF_PT6A,-,-,D6,-,A4
364,VSS,-,-,-,-,-,-,-,-
365,PT4B,0,-,Comp_OF_PT4A,-,-,B6,C11,B3
366,PT6A,0,-,True_OF_PT6B,-,-,E6,-,A3
367,VCC,-,-,-,-,-,-,-,-
368,PT4A,0,-,True_OF_PT4B,-,-,A6,B11,A2
369,VSS,-,-,-,-,-,-,-,-
370,VCC,-,-,-,-,-,-,-,-
371,VCC,-,-,-,-,-,-,-,-
372,GND,-,-,-,-,-,-,-,-
0,NC,-,-,-,-,-,-,-,-
0,GND,-,-,-,-,-,C19,G2,A16
0,GND,-,-,-,-,-,H19,L2,H16
0,GND,-,-,-,-,-,R19,B3,T16
0,GND,-,-,-,-,-,G17,E5,D15
0,GND,-,-,-,-,-,M16,F5,N15
0,GND,-,-,-,-,-,G15,K5,T12
0,GND,-,-,-,-,-,K15,L5,G10
0,GND,-,-,-,-,-,N15,F6,H10
0,GND,-,-,-,-,-,B14,G6,J10
0,GND,-,-,-,-,-,F14,H6,K10
0,GND,-,-,-,-,-,G14,J6,F9
0,GND,-,-,-,-,-,J14,K6,H9
0,GND,-,-,-,-,-,K14,L6,J9
0,GND,-,-,-,-,-,M14,M6,K9
0,GND,-,-,-,-,-,N14,E7,F8
0,GND,-,-,-,-,-,P14,F7,G8
0,GND,-,-,-,-,-,F13,G7,H8
0,GND,-,-,-,-,-,G13,H7,J8
0,GND,-,-,-,-,-,P13,J7,K8
0,GND,-,-,-,-,-,G12,K7,K7
0,GND,-,-,-,-,-,J12,L7,K6
0,GND,-,-,-,-,-,K12,M7,T5
0,GND,-,-,-,-,-,L12,N7,D2
0,GND,-,-,-,-,-,M12,E8,N2
0,GND,-,-,-,-,-,P12,F8,A1
0,GND,-,-,-,-,-,G11,G8,H1
0,GND,-,-,-,-,-,J11,H8,T1
0,GND,-,-,-,-,-,K11,J8,-
0,GND,-,-,-,-,-,L11,K8,-
0,GND,-,-,-,-,-,M11,L8,-
0,GND,-,-,-,-,-,P11,M8,-
0,GND,-,-,-,-,-,G10,N8,-
0,GND,-,-,-,-,-,J10,E9,-
0,GND,-,-,-,-,-,K10,F9,-
0,GND,-,-,-,-,-,L10,G9,-
0,GND,-,-,-,-,-,M10,H9,-
0,GND,-,-,-,-,-,G9,J9,-
0,GND,-,-,-,-,-,J9,K9,-
0,GND,-,-,-,-,-,K9,L9,-
0,GND,-,-,-,-,-,L9,M9,-
0,GND,-,-,-,-,-,M9,N9,-
0,GND,-,-,-,-,-,F8,E10,-
0,GND,-,-,-,-,-,G8,F10,-
0,GND,-,-,-,-,-,P8,G10,-
0,GND,-,-,-,-,-,B7,H10,-
0,GND,-,-,-,-,-,F7,J10,-
0,GND,-,-,-,-,-,G7,K10,-
0,GND,-,-,-,-,-,J7,L10,-
0,GND,-,-,-,-,-,K7,M10,-
